id,name_en,name_cn,rarity,tags_en
"char_241_panda","FEater","食铁兽",5,"Senior Operator;Melee;Shift;Slow;特种;女"
"char_242_otter","Mayer","梅尔",5,"Senior Operator;Ranged;Summon;Crowd Control;辅助;女"
"char_277_sqrrel","Shaw","阿消",4,"Melee;Shift;特种;女"
"char_278_orchid","Orchid","梓兰",3,"Ranged;Slow;辅助;女"
"char_285_medic2","Lancet-2","Lancet-2",1,"Ranged;Robot;Healing;医疗;女"
"char_286_cast3","Castle-3","Castle-3",1,"Melee;Robot;Support;近卫;男"
"char_289_gyuki","Matoimaru","缠丸",4,"Melee;Survival;DPS;近卫;女"
"char_290_vigna","Vigna","红豆",4,"Melee;DPS;DP-Recovery;先锋;女"
"char_500_noirc","Noir Corne","黑角",2,"Melee;Starter;重装;男"
"char_501_durin","Durin","杜林",2,"Ranged;Starter;术师;女"
"char_502_nblade","Yato","夜刀",2,"Melee;Starter;先锋;女"
"char_503_rang","Rangers","巡林者",2,"Ranged;Starter;狙击;男"
"char_282_catap","Catapult","空爆",3,"Ranged;AoE;狙击;女"
"char_137_brownb","Beehunter","猎蜂",4,"Melee;DPS;近卫;女"
"char_164_nightm","Nightmare","夜魔",5,"Senior Operator;Ranged;DPS;Healing;Slow;术师;女"
"char_263_skadi","Skadi","斯卡蒂",6,"Top Operator;Melee;DPS;Survival;近卫;女"
"char_283_midn","Midnight","月见夜",3,"Melee;DPS;近卫;男"
"char_284_spot","Spot","斑点",3,"Melee;Defense;Healing;重装;男"
"char_010_chen","Ch'en","陈",6,"Top Operator;Melee;Nuker;DPS;近卫;女"
"char_253_greyy","Greyy","格雷伊",4,"Ranged;AoE;Slow;术师;男"
"char_281_popka","Popukar","泡普卡",3,"Melee;AoE;Survival;近卫;女"
"char_308_swire","Swire","诗怀雅",5,"Senior Operator;Melee;DPS;Support;近卫;女"
"char_190_clour","Vermeil","红云",4,"Ranged;DPS;狙击;女"
"char_248_mgllan","Magallan","麦哲伦",6,"Top Operator;Ranged;Support;Slow;DPS;辅助;女"
"char_279_excu","Executor","送葬人",5,"Senior Operator;Ranged;AoE;狙击;男"
"char_151_myrtle","Myrtle","桃金娘",4,"Melee;DP-Recovery;Healing;先锋;女"
"char_188_helage","Hellagur","赫拉格",6,"Top Operator;Melee;DPS;Survival;近卫;男"
"char_274_astesi","Astesia","星极",5,"Senior Operator;Melee;DPS;Defense;近卫;女"
"char_298_susuro","Sussurro","苏苏洛",4,"Ranged;Healing;医疗;女"
"char_326_glacus","Glaucus","格劳克斯",5,"Senior Operator;Ranged;Slow;Crowd Control;辅助;女"
"char_340_shwaz","Schwarz","黑",6,"Top Operator;Ranged;DPS;狙击;女"
"char_133_mm","May","梅",4,"Ranged;DPS;Slow;狙击;女"
"char_213_mostma","Mostima","莫斯提马",6,"Top Operator;Ranged;AoE;Support;Crowd Control;术师;女"
"char_243_waaifu","Waai Fu","槐琥",5,"Senior Operator;Melee;Fast-Redeploy;Debuff;特种;女"
"char_261_sddrag","Reed","苇草",5,"Senior Operator;Melee;DP-Recovery;DPS;先锋;女"
"char_356_broca","Broca","布洛卡",5,"Senior Operator;Melee;AoE;Survival;近卫;男"
"char_302_glaze","Ambriel","安比尔",4,"Ranged;DPS;Slow;狙击;女"
"char_367_swllow","GreyThroat","灰喉",5,"Senior Operator;Ranged;DPS;狙击;女"
"char_017_huang","Blaze","煌",6,"Top Operator;Melee;DPS;Survival;近卫;女"
"char_225_haak","Aak","阿",6,"Top Operator;Ranged;Support;DPS;特种;男"
"char_226_hmau","Hung","吽",5,"Senior Operator;Melee;Defense;Healing;重装;男"
"char_2013_cerber","Ceobe","刻俄柏",6,"Top Operator;Ranged;DPS;Crowd Control;术师;女"
"char_306_leizi","Leizi","惊蛰",5,"Senior Operator;Ranged;DPS;术师;女"
"char_385_finlpp","Purestream","清流",4,"Ranged;Healing;Support;医疗;女"
"char_222_bpipe","Bagpipe","风笛",6,"Top Operator;Melee;DP-Recovery;DPS;先锋;女"
"char_379_sesa","Sesa","慑砂",5,"Senior Operator;Ranged;AoE;Debuff;狙击;男"
"char_337_utage","Utage","宴",4,"Melee;DPS;Survival;近卫;女"
"char_250_phatom","Phantom","傀影",6,"Top Operator;Melee;Fast-Redeploy;Crowd Control;DPS;特种;男"
"char_254_vodfox","Shamare","巫恋",5,"Senior Operator;Ranged;Debuff;辅助;女"
"char_301_cutter","Cutter","刻刀",4,"Melee;Nuker;DPS;近卫;女"
"char_376_therex","Thermal-EX","THRM-EX",1,"Melee;Robot;Nuker;特种;男"
"char_400_weedy","Weedy","温蒂",6,"Top Operator;Melee;Shift;DPS;Crowd Control;特种;女"
"char_401_elysm","Elysium","极境",5,"Senior Operator;Melee;DP-Recovery;Support;先锋;男"
"char_378_asbest","Asbestos","石棉",5,"Senior Operator;Melee;Defense;DPS;重装;女"
"char_343_tknogi","Tsukinogi","月禾",5,"Senior Operator;Ranged;Support;Survival;辅助;女"
"char_258_podego","Podenco","波登可",4,"Ranged;Slow;Healing;辅助;女"
"char_373_lionhd","Leonhardt","莱恩哈特",5,"Senior Operator;Ranged;AoE;Nuker;术师;男"
"char_197_poca","Роса","早露",6,"Top Operator;Ranged;DPS;Crowd Control;狙击;女"
"char_328_cammou","Click","卡达",4,"Ranged;DPS;Crowd Control;术师;女"
"char_294_ayer","Ayerscarpe","断崖",5,"Senior Operator;Melee;DPS;AoE;近卫;男"
"char_358_lisa","Suzuran","铃兰",6,"Top Operator;Ranged;Slow;Support;DPS;辅助;女"
"char_344_beewax","Beeswax","蜜蜡",5,"Senior Operator;Ranged;AoE;Defense;术师;女"
"char_349_chiave","Chiave","贾维",5,"Senior Operator;Melee;DP-Recovery;DPS;先锋;男"
"char_272_strong","Jaye","孑",4,"Melee;Fast-Redeploy;DPS;特种;男"
"char_218_cuttle","Andreana","安哲拉",5,"Senior Operator;Ranged;DPS;Slow;狙击;女"
"char_293_thorns","Thorns","棘刺",6,"Top Operator;Melee;DPS;Defense;近卫;男"
"char_416_zumama","Eunectes","森蚺",6,"Top Operator;Melee;DPS;Survival;Defense;重装;女"
"char_415_flint","Flint","燧石",5,"Senior Operator;Melee;DPS;近卫;女"
"char_366_acdrop","Aciddrop","酸糖",4,"Ranged;DPS;狙击;女"
"char_350_surtr","Surtr","史尔特尔",6,"Top Operator;Melee;DPS;近卫;女"
"char_271_spikes","Arene","芳汀",4,"Melee;DPS;近卫;男"
"char_365_aprl","April","四月",5,"Senior Operator;Ranged;DPS;狙击;女"
"char_423_blemsh","Blemishine","瑕光",6,"Top Operator;Melee;Defense;Healing;DPS;重装;女"
"char_346_aosta","Aosta","奥斯塔",5,"Senior Operator;Ranged;AoE;狙击;男"
"char_381_bubble","Bubble","泡泡",4,"Melee;Defense;重装;女"
"char_311_mudrok","Mudrock","泥岩",6,"Top Operator;Melee;Survival;Defense;DPS;重装;女"
"char_436_whispr","Whisperain","絮雨",5,"Senior Operator;Ranged;Healing;医疗;女"
"char_347_jaksel","Jackie","杰克",4,"Melee;DPS;近卫;女"
"char_264_f12yin","Mountain","山",6,"Top Operator;Melee;DPS;Survival;近卫;男"
"char_214_kafka","Kafka","卡夫卡",5,"Senior Operator;Melee;Fast-Redeploy;Crowd Control;特种;女"
"char_440_pinecn","Pinecone","松果",4,"Ranged;AoE;DPS;狙击;女"
"char_332_archet","Archetto","空弦",6,"Top Operator;Ranged;DPS;狙击;女"
"char_338_iris","Iris","爱丽丝",5,"Senior Operator;Ranged;DPS;术师;女"
"char_452_bstalk","Beanstalk","豆苗",4,"Ranged;DP-Recovery;Summon;先锋;女"
"char_4000_jnight",""Justice Knight"","正义骑士号",1,"Ranged;Robot;Support;狙击;女"
"char_4093_frston","Friston-3","Friston-3",1,"Melee;Robot;Defense;重装;男"
"char_4136_phonor","PhonoR-0","PhonoR-0",1,"Ranged;Robot;Elemental;辅助;女"
